time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/iterations,rollout/ep_rew_mean,time/fps,train/value_loss,train/clip_range,train/approx_kl,train/entropy_loss,train/policy_gradient_loss,train/n_updates,train/learning_rate,train/loss,train/explained_variance,train/clip_fraction,train/std
3794016,175.07,1706,73,283.09893798828125,1051,102.70086110432943,0.2,0.007968896,-16.597273127237955,-0.0030613171596390507,765,0.0003,51.416324615478516,0.9779236912727356,0.052099609375,0.9666479229927063
3818592,178.59,1730,74,289.0426025390625,1050,104.58274739583334,0.2,0.0065179416,-16.585533905029298,-0.0030732410339017707,770,0.0003,52.60564422607422,0.9777140021324158,0.044287109375,0.9660303592681885
3843168,182.0,1754,75,284.0810852050781,1050,103.43978576660156,0.2,0.008479931,-16.579103342692058,-0.0031917049704740445,775,0.0003,52.774620056152344,0.9779714941978455,0.04693196614583333,0.9655711054801941
3867744,181.25,1778,76,284.3835754394531,1050,106.97002309163412,0.2,0.007526892,-16.57119229634603,-0.0027915283921174706,780,0.0003,52.91017532348633,0.9776228070259094,0.03193359375,0.9649297595024109
3892320,184.69,1801,77,294.22442626953125,1050,107.62832590738932,0.2,0.0056132544,-16.562517801920574,-0.0035001071480413276,785,0.0003,51.26283645629883,0.9776893854141235,0.03330078125,0.9642395973205566
3916896,187.5,1822,78,287.7406921386719,1051,105.42189381917318,0.2,0.005554265,-16.55358632405599,-0.0026340963202528657,790,0.0003,52.86351013183594,0.9775146245956421,0.03173828125,0.9637084603309631
3941472,190.85,1844,79,297.9954833984375,1052,114.74034271240234,0.2,0.0075803977,-16.547344080607097,-0.0034029785776510833,795,0.0003,56.6475944519043,0.9761079549789429,0.043497721354166664,0.9631216526031494
3966048,183.25,1868,80,293.541748046875,1052,115.30157267252604,0.2,0.005969223,-16.53610814412435,-0.0025077646559414765,800,0.0003,57.330345153808594,0.9752830266952515,0.041300455729166664,0.9620108604431152
3990624,194.08,1891,81,301.3191833496094,1052,105.84695688883464,0.2,0.008140608,-16.52167663574219,-0.0038827179698273538,805,0.0003,52.592132568359375,0.9775246381759644,0.04757486979166667,0.960942268371582
4015200,190.28,1913,82,295.2857360839844,1052,115.11078287760417,0.2,0.005477777,-16.509625752766926,-0.0035319345615183314,810,0.0003,55.004798889160156,0.9749811291694641,0.042008463541666666,0.9599783420562744
