time/time_elapsed,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/total_timesteps,train/loss,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/approx_kl,train/n_updates,train/learning_rate,train/value_loss,train/std,train/entropy_loss,train/explained_variance
1032,48,206.41888427734375,131.59,1142,1179648,130.59291076660156,0.010270182291666667,0.2,-0.0023894847293073934,0.004581787,235,0.0003,276.3097229003906,1.0063565969467163,-17.103450139363606,0.9301842451095581
1053,49,202.06544494628906,135.09,1143,1204224,130.8254852294922,0.0197021484375,0.2,-0.002441949009274443,0.0055489354,240,0.0003,276.1378173828125,1.0067991018295288,-17.10187021891276,0.9290720224380493
1074,50,210.8401336669922,131.95,1143,1228800,132.1992950439453,0.006502278645833333,0.2,-0.002235146580884854,0.0036399637,245,0.0003,276.99412231445314,1.0076991319656372,-17.111216608683268,0.9285133481025696
1097,51,214.1694793701172,130.8,1142,1253376,127.2982177734375,0.014542643229166667,0.2,-0.0020884432674696048,0.00498947,250,0.0003,261.31805318196615,1.0078984498977661,-17.11902707417806,0.9349839091300964
1118,52,212.5628662109375,129.81,1142,1277952,118.2227783203125,0.014534505208333333,0.2,-0.002159568713977933,0.0052211597,255,0.0003,250.07420552571614,1.008238673210144,-17.120815912882488,0.9390820264816284
1138,53,215.7593536376953,134.12,1143,1302528,119.5546875,0.017545572916666665,0.2,-0.0024336692954724033,0.005834444,260,0.0003,248.09937032063803,1.008375644683838,-17.124823252360027,0.9384300708770752
1160,54,213.5410614013672,130.67,1144,1327104,112.373779296875,0.0177734375,0.2,-0.0024776529287919404,0.005869103,265,0.0003,234.9445770263672,1.0079787969589233,-17.1229731241862,0.9434380531311035
1181,55,217.64422607421875,129.54,1143,1351680,110.47036743164062,0.020450846354166666,0.2,-0.002718150041376551,0.0058009303,270,0.0003,234.94603678385417,1.0082186460494995,-17.12062670389811,0.942169189453125
1202,56,213.9632568359375,132.34,1144,1376256,104.94971466064453,0.027766927083333334,0.2,-0.002718164554486672,0.007031065,275,0.0003,225.67259928385417,1.007971167564392,-17.12254409790039,0.9462323188781738
1223,57,217.9770965576172,131.67,1145,1400832,113.00294494628906,0.009025065104166667,0.2,-0.0020753381269363064,0.0041452553,280,0.0003,233.80005594889323,1.0079723596572876,-17.119417572021483,0.9413942098617554
1243,58,210.97088623046875,133.25,1146,1425408,102.06107330322266,0.019392903645833334,0.2,-0.0024595426628366114,0.005961373,285,0.0003,213.36700948079428,1.008563756942749,-17.123288599650063,0.9487754106521606
1263,59,221.06454467773438,135.92,1147,1449984,106.54354858398438,0.0174072265625,0.2,-0.0021477754693478347,0.0059770495,290,0.0003,223.05841776529948,1.009010910987854,-17.13006960550944,0.9439455270767212
1283,60,218.87123107910156,133.82,1148,1474560,102.58578491210938,0.009147135416666667,0.2,-0.0016992832922066252,0.0043498906,295,0.0003,208.77600809733073,1.0089260339736938,-17.132938639322916,0.9517906308174133
1304,61,220.68849182128906,130.62,1149,1499136,94.36104583740234,0.017195638020833334,0.2,-0.0022246889925251405,0.00558263,300,0.0003,206.43405456542968,1.0077688694000244,-17.126166661580402,0.9494954347610474
1325,62,223.22076416015625,131.2,1149,1523712,90.95450592041016,0.0106201171875,0.2,-0.002266789119069775,0.0047318228,305,0.0003,190.34913431803386,1.0075156688690186,-17.115002568562826,0.9563258290290833
1346,63,221.43870544433594,131.15,1149,1548288,88.87568664550781,0.03661295572916667,0.2,-0.002444943335528175,0.0052697626,310,0.0003,184.3869842529297,1.007927417755127,-17.116520563761394,0.9574686884880066
